Date,2yr,5yr,10yr,20yr,In SNB 3dWindow,In SNB 5dWindow,In SNB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,SNB 10yr - 3dWindow Change,SNB 10yr - 5dWindow Change,SNB 10yr - 7dWindow Change,SNB 10yr - Outside 3dWindow Change,SNB 10yr - Outside 5dWindow Change,SNB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
2013-01-23,0.033,0.174,0.696,1.155,False,False,False,False,False,False,-0.013000000000000012,0.0,0.0,0.0,-0.013000000000000012,-0.013000000000000012,-0.013000000000000012,0.0,0.0,0.0,-0.013000000000000012,-0.013000000000000012,-0.013000000000000012
2013-01-24,0.036,0.155,0.693,1.145,False,False,False,False,False,False,-0.0030000000000000027,0.0,0.0,0.0,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,0.0,0.0,0.0,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027
2013-01-25,0.05,0.178,0.711,1.16,False,False,False,False,False,False,0.018000000000000016,0.0,0.0,0.0,0.018000000000000016,0.018000000000000016,0.018000000000000016,0.0,0.0,0.0,0.018000000000000016,0.018000000000000016,0.018000000000000016
2013-01-28,0.049,0.227,0.754,1.2,False,False,False,False,True,True,0.04300000000000004,0.0,0.0,0.0,0.04300000000000004,0.04300000000000004,0.04300000000000004,0.0,0.04300000000000004,0.04300000000000004,0.04300000000000004,0.0,0.0
2013-01-29,0.053,0.244,0.784,1.218,False,False,False,True,True,True,0.030000000000000027,0.0,0.0,0.0,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0
2013-01-30,0.078,0.269,0.805,1.239,False,False,False,True,True,True,0.02100000000000002,0.0,0.0,0.0,0.02100000000000002,0.02100000000000002,0.02100000000000002,0.02100000000000002,0.02100000000000002,0.02100000000000002,0.0,0.0,0.0
2013-01-31,0.093,0.282,0.789,1.221,False,False,False,True,True,True,-0.016000000000000014,0.0,0.0,0.0,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,0.0,0.0,0.0
2013-02-01,0.073,0.26,0.781,1.207,False,False,False,False,True,True,-0.008000000000000007,0.0,0.0,0.0,-0.008000000000000007,-0.008000000000000007,-0.008000000000000007,0.0,-0.008000000000000007,-0.008000000000000007,-0.008000000000000007,0.0,0.0
2013-02-04,0.06,0.262,0.794,1.211,False,False,False,False,False,False,0.013000000000000012,0.0,0.0,0.0,0.013000000000000012,0.013000000000000012,0.013000000000000012,0.0,0.0,0.0,0.013000000000000012,0.013000000000000012,0.013000000000000012
2013-02-05,0.053,0.232,0.762,1.177,False,False,False,False,False,False,-0.03200000000000003,0.0,0.0,0.0,-0.03200000000000003,-0.03200000000000003,-0.03200000000000003,0.0,0.0,0.0,-0.03200000000000003,-0.03200000000000003,-0.03200000000000003
2013-02-06,0.071,0.218,0.76,1.193,False,False,False,False,False,False,-0.0020000000000000018,0.0,0.0,0.0,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,0.0,0.0,0.0,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018
2013-02-07,0.051,0.217,0.771,1.193,False,False,False,False,False,False,0.01100000000000001,0.0,0.0,0.0,0.01100000000000001,0.01100000000000001,0.01100000000000001,0.0,0.0,0.0,0.01100000000000001,0.01100000000000001,0.01100000000000001
2013-02-08,0.056,0.204,0.756,1.188,False,False,False,False,False,False,-0.015000000000000013,0.0,0.0,0.0,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,0.0,0.0,0.0,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013
2013-02-11,0.03,0.186,0.739,1.163,False,False,False,False,False,False,-0.017000000000000015,0.0,0.0,0.0,-0.017000000000000015,-0.017000000000000015,-0.017000000000000015,0.0,0.0,0.0,-0.017000000000000015,-0.017000000000000015,-0.017000000000000015
2013-02-12,0.037,0.19,0.748,1.174,False,False,False,False,False,False,0.009000000000000008,0.0,0.0,0.0,0.009000000000000008,0.009000000000000008,0.009000000000000008,0.0,0.0,0.0,0.009000000000000008,0.009000000000000008,0.009000000000000008
2013-02-13,0.045,0.206,0.781,1.212,False,False,False,False,False,False,0.03300000000000003,0.0,0.0,0.0,0.03300000000000003,0.03300000000000003,0.03300000000000003,0.0,0.0,0.0,0.03300000000000003,0.03300000000000003,0.03300000000000003
2013-02-14,0.037,0.214,0.786,1.217,False,False,False,False,False,False,0.0050000000000000044,0.0,0.0,0.0,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0,0.0,0.0,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044
2013-02-15,0.034,0.199,0.775,1.204,False,False,False,False,False,False,-0.01100000000000001,0.0,0.0,0.0,-0.01100000000000001,-0.01100000000000001,-0.01100000000000001,0.0,0.0,0.0,-0.01100000000000001,-0.01100000000000001,-0.01100000000000001
