Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
1999-09-23,5.46,5.72,5.98,6.36,3.71,6.027087171052632,6.36113552631579,6.718999999999999,False,False,False,False,False,False,0.0,6.2244,-0.08209999999999962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-24,5.3,5.56,5.82,6.2,3.65,5.866907894736842,6.196881578947368,6.5489999999999995,False,False,False,False,False,False,-0.16000000000000014,6.1291,-0.09529999999999994,0.0,0.0,0.0,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014,0.0,0.0,0.0,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014
1999-09-27,5.18,5.43,5.69,6.12,3.61,5.744848684210527,6.087642105263158,6.474,False,False,False,False,False,False,-0.08000000000000007,6.2005,0.07139999999999969,0.0,0.0,0.0,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007,0.0,0.0,0.0,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007
1999-09-28,5.25,5.49,5.75,6.18,3.61,5.787171052631579,6.135578947368421,6.515,False,False,False,False,False,False,0.05999999999999961,6.2763,0.07580000000000009,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961
1999-09-29,5.31,5.57,5.84,6.25,3.62,5.857328947368422,6.209798684210527,6.5895,False,False,False,False,False,False,0.07000000000000028,6.3583,0.08199999999999985,0.0,0.0,0.0,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.0,0.0,0.0,0.07000000000000028,0.07000000000000028,0.07000000000000028
1999-09-30,5.34,5.6,5.88,6.3,3.64,5.894986842105263,6.250394736842106,6.6465,False,False,False,False,False,False,0.04999999999999982,6.2716,-0.08669999999999956,0.0,0.0,0.0,0.04999999999999982,0.04999999999999982,0.04999999999999982,0.0,0.0,0.0,0.04999999999999982,0.04999999999999982,0.04999999999999982
1999-10-01,5.42,5.67,5.93,6.31,3.65,5.960510948905109,6.289968421052631,6.65,False,False,False,False,False,False,0.009999999999999787,6.3901,0.11850000000000005,0.0,0.0,0.0,0.009999999999999787,0.009999999999999787,0.009999999999999787,0.0,0.0,0.0,0.009999999999999787,0.009999999999999787,0.009999999999999787
1999-10-04,5.54,5.79,6.05,6.4,3.69,5.964478102189781,6.293478947368421,6.65,False,False,False,True,True,True,0.09000000000000075,6.3336,-0.05650000000000066,0.0,0.0,0.0,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.0,0.0,0.0
1999-10-05,5.57,5.79,6.06,6.39,3.68,6.106376824817518,6.413217105263159,6.7435,False,False,False,True,True,True,-0.010000000000000675,6.4187,0.08510000000000062,0.0,0.0,0.0,-0.010000000000000675,-0.010000000000000675,-0.010000000000000675,-0.010000000000000675,-0.010000000000000675,-0.010000000000000675,0.0,0.0,0.0
1999-10-06,5.61,5.84,6.11,6.48,3.7,6.142364963503649,6.4611,6.821,False,False,False,True,True,True,0.09000000000000075,6.4158,-0.0029000000000003467,0.0,0.0,0.0,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.09000000000000075,0.0,0.0,0.0
