"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/1999","1.4819","1.4756","1.4844","1.4743","","0.41%"
"10/12/1999","1.4758","1.4729","1.4766","1.4709","","0.20%"
"10/11/1999","1.4728","1.4716","1.4737","1.4702","","0.14%"
"10/08/1999","1.4708","1.4706","1.4745","1.4673","","-0.03%"
"10/07/1999","1.4713","1.4685","1.4727","1.4667","","0.20%"
"10/06/1999","1.4683","1.4718","1.4721","1.4655","","-0.26%"
"10/05/1999","1.4722","1.4686","1.4724","1.4632","","0.23%"
"10/04/1999","1.4688","1.4753","1.4769","1.4683","","-0.39%"
"10/01/1999","1.4745","1.4669","1.4788","1.4617","","0.50%"
"09/30/1999","1.4672","1.4658","1.4715","1.4645","","0.05%"
"09/29/1999","1.4664","1.4621","1.4665","1.4598","","0.32%"
"09/28/1999","1.4617","1.4688","1.4691","1.4607","","-0.45%"
"09/27/1999","1.4683","1.4725","1.4726","1.4677","","-0.22%"
"09/24/1999","1.4715","1.4730","1.4775","1.4715","","-0.14%"
"09/23/1999","1.4735","1.4715","1.4758","1.4685","","0.16%"
"09/22/1999","1.4712","1.4764","1.4773","1.4667","","-0.34%"
"09/21/1999","1.4762","1.4783","1.4785","1.4688","","-0.16%"
"09/20/1999","1.4785","1.4718","1.4807","1.4710","","0.48%"
"09/17/1999","1.4714","1.4748","1.4759","1.4685","","-0.23%"
"09/16/1999","1.4748","1.4758","1.4797","1.4741","","-0.08%"
"09/15/1999","1.4760","1.4737","1.4780","1.4701","","0.16%"
"09/14/1999","1.4737","1.4691","1.4752","1.4676","","0.31%"
"09/13/1999","1.4692","1.4758","1.4780","1.4682","","-0.37%"
"09/10/1999","1.4746","1.4780","1.4830","1.4721","","-0.20%"
"09/09/1999","1.4775","1.4877","1.4887","1.4773","","-0.67%"
"09/08/1999","1.4875","1.4896","1.4921","1.4863","","-0.12%"
"09/07/1999","1.4893","1.4899","1.4943","1.4870","","-0.04%"
"09/06/1999","1.4899","1.4911","1.4922","1.4888","","-0.05%"
"09/03/1999","1.4906","1.4960","1.4993","1.4870","","-0.35%"
"09/02/1999","1.4958","1.4884","1.4968","1.4853","","0.50%"
"09/01/1999","1.4884","1.4922","1.4949","1.4838","","-0.24%"
"08/31/1999","1.4920","1.4941","1.4975","1.4867","","-0.11%"
"08/30/1999","1.4937","1.4888","1.4949","1.4863","","0.32%"
"08/27/1999","1.4890","1.4983","1.5013","1.4883","","-0.77%"
"08/26/1999","1.5005","1.4954","1.5045","1.4950","","0.33%"
"08/25/1999","1.4955","1.4909","1.4979","1.4907","","0.34%"
"08/24/1999","1.4905","1.4975","1.4994","1.4882","","-0.47%"
"08/23/1999","1.4975","1.4960","1.4992","1.4934","","0.10%"
"08/20/1999","1.4960","1.4947","1.4981","1.4921","","0.11%"
"08/19/1999","1.4943","1.4832","1.4951","1.4830","","0.74%"
"08/18/1999","1.4833","1.4775","1.4862","1.4775","","0.42%"
"08/17/1999","1.4771","1.4832","1.4840","1.4758","","-0.42%"
"08/16/1999","1.4834","1.4777","1.4840","1.4764","","0.38%"
"08/13/1999","1.4778","1.4857","1.4865","1.4756","","-0.48%"
"08/12/1999","1.4849","1.4858","1.4886","1.4817","","-0.05%"
"08/11/1999","1.4857","1.4969","1.4978","1.4857","","-0.77%"
"08/10/1999","1.4973","1.5017","1.5029","1.4968","","-0.31%"
"08/09/1999","1.5019","1.5036","1.5048","1.4968","","-0.11%"
"08/06/1999","1.5036","1.5000","1.5053","1.4955","","0.38%"
"08/05/1999","1.4979","1.4907","1.4983","1.4888","","0.51%"
"08/04/1999","1.4903","1.4929","1.4979","1.4884","","-0.17%"
"08/03/1999","1.4929","1.5043","1.5065","1.4919","","-0.76%"
"08/02/1999","1.5044","1.5061","1.5128","1.5027","","-0.17%"
"07/30/1999","1.5070","1.5055","1.5079","1.4985","","0.07%"
"07/29/1999","1.5059","1.5075","1.5135","1.5045","","-0.13%"
"07/28/1999","1.5078","1.5124","1.5151","1.5048","","-0.35%"
"07/27/1999","1.5131","1.5107","1.5152","1.5067","","0.15%"
"07/26/1999","1.5109","1.5069","1.5174","1.5024","","0.28%"
"07/23/1999","1.5067","1.5075","1.5090","1.5035","","-0.01%"
"07/22/1999","1.5069","1.4989","1.5122","1.4983","","0.51%"
"07/21/1999","1.4992","1.4917","1.5037","1.4905","","0.51%"
"07/20/1999","1.4916","1.4903","1.4950","1.4890","","0.07%"
"07/19/1999","1.4905","1.4829","1.4953","1.4820","","0.49%"
"07/16/1999","1.4833","1.4819","1.4846","1.4809","","0.07%"
"07/15/1999","1.4823","1.4809","1.4832","1.4787","","0.09%"
"07/14/1999","1.4810","1.4805","1.4853","1.4792","","0.05%"
"07/13/1999","1.4802","1.4789","1.4843","1.4780","","0.09%"
"07/12/1999","1.4788","1.4725","1.4821","1.4708","","0.50%"
"07/09/1999","1.4715","1.4707","1.4736","1.4683","","0.01%"
"07/08/1999","1.4714","1.4691","1.4739","1.4667","","0.14%"
"07/07/1999","1.4693","1.4703","1.4720","1.4680","","-0.12%"
"07/06/1999","1.4710","1.4682","1.4719","1.4626","","0.16%"
"07/05/1999","1.4687","1.4642","1.4688","1.4626","","0.33%"
"07/02/1999","1.4639","1.4747","1.4749","1.4622","","-0.68%"
"07/01/1999","1.4739","1.4630","1.4741","1.4613","","0.79%"
"06/30/1999","1.4623","1.4768","1.4823","1.4617","","-1.00%"
"06/29/1999","1.4770","1.4697","1.4788","1.4685","","0.51%"
"06/28/1999","1.4695","1.4659","1.4697","1.4630","","0.20%"
"06/25/1999","1.4666","1.4725","1.4728","1.4623","","-0.42%"
"06/24/1999","1.4728","1.4728","1.4728","1.4681","","-0.01%"
"06/23/1999","1.4730","1.4704","1.4754","1.4672","","0.20%"
"06/22/1999","1.4700","1.4710","1.4739","1.4689","","-0.10%"
"06/21/1999","1.4714","1.4644","1.4731","1.4617","","0.51%"
"06/18/1999","1.4640","1.4625","1.4670","1.4624","","0.10%"
"06/17/1999","1.4626","1.4600","1.4654","1.4544","","0.22%"
"06/16/1999","1.4594","1.4642","1.4655","1.4573","","-0.34%"
"06/15/1999","1.4644","1.4607","1.4657","1.4587","","0.25%"
"06/14/1999","1.4607","1.4618","1.4638","1.4580","","-0.09%"
"06/11/1999","1.4620","1.4633","1.4635","1.4571","","-0.11%"
"06/10/1999","1.4636","1.4726","1.4729","1.4594","","-0.60%"
"06/09/1999","1.4724","1.4756","1.4758","1.4705","","-0.22%"
"06/08/1999","1.4756","1.4684","1.4770","1.4665","","0.55%"
"06/07/1999","1.4676","1.4703","1.4733","1.4663","","-0.17%"
"06/04/1999","1.4701","1.4757","1.4773","1.4689","","-0.39%"
