Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread
2018-09-19,2.098,2.142,2.325,2.71,0.798,,,,False,False,False,False,False,False,0.0489999999999999,3.0716,0.0260000000000002,0.0,0.0,0.0,0.0489999999999999,0.0489999999999999,0.0489999999999999,0.0,0.0,0.0,0.0489999999999999,0.0489999999999999,0.0489999999999999,1.3766,1.3854,1.3863,1.3741,,-0.61%,0.0
2018-09-20,2.096,2.149,2.335,2.716,0.811,,,,False,False,False,False,False,False,0.0060000000000002,3.063,-0.0085999999999999,0.0,0.0,0.0,0.0060000000000002,0.0060000000000002,0.0060000000000002,0.0,0.0,0.0,0.0060000000000002,0.0060000000000002,0.0060000000000002,1.3715,1.3773,1.3788,1.3711,,-0.37%,0.0026413396555042
2018-09-21,2.074,2.126,2.317,2.701,0.809,,,,False,False,False,False,False,False,-0.0150000000000001,3.0596,-0.0034,0.0,0.0,0.0,-0.0150000000000001,-0.0150000000000001,-0.0150000000000001,0.0,0.0,0.0,-0.0150000000000001,-0.0150000000000001,-0.0150000000000001,1.3715,1.3717,1.3772,1.3692,,0.00%,0.0001240505108256
2018-09-24,2.074,2.127,2.323,2.706,0.814,,,,False,False,False,False,True,True,0.0049999999999998,3.0711,0.0114999999999998,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,0.0,0.0,1.3787,1.3748,1.3795,1.3729,,0.52%,0.0
2018-09-25,2.09,2.148,2.352,2.751,0.857,,,,False,False,False,True,True,True,0.0449999999999999,3.0872,0.0161000000000002,0.0,0.0,0.0,0.0449999999999999,0.0449999999999999,0.0449999999999999,0.0449999999999999,0.0449999999999999,0.0449999999999999,0.0,0.0,0.0,1.3792,1.3786,1.3819,1.3764,,0.04%,0.0007331623742467
2018-09-26,2.068,2.123,2.329,2.735,0.851,,,,False,False,False,True,True,True,-0.016,3.0529,-0.0343,0.0,0.0,0.0,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,0.0,0.0,0.0,1.3777,1.3794,1.3813,1.367,,-0.11%,0.0
2018-09-27,2.033,2.097,2.304,2.69,0.82,,,,False,False,False,True,True,True,-0.0449999999999999,3.0471,-0.0058000000000002,0.0,0.0,0.0,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,0.0,0.0,0.0,1.3875,1.378,1.3879,1.3751,,0.71%,0.0022524562697203
2018-09-28,2.017,2.075,2.289,2.671,0.81,,,,False,False,False,False,True,True,-0.0190000000000001,3.0463,-0.0007999999999999,0.0,0.0,0.0,-0.0190000000000001,-0.0190000000000001,-0.0190000000000001,0.0,-0.0190000000000001,-0.0190000000000001,-0.0190000000000001,0.0,0.0,1.383,1.3875,1.3889,1.3809,,-0.32%,0.0031767669037239
2018-10-01,,,,,,,,,True,True,True,False,False,False,,3.0832,0.0369000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.3842,1.3829,1.388,1.3823,,0.09%,0.0018174256334842
2018-10-02,1.993,2.055,2.28,2.67,0.819,,,,True,True,True,False,False,False,,3.0489,-0.0343,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.3911,1.385,1.3966,1.3815,,0.50%,0.0
2018-10-03,1.957,2.023,2.248,2.641,0.778,,,,True,True,True,False,False,False,-0.0289999999999999,3.144,0.0950999999999999,-0.0289999999999999,-0.0289999999999999,-0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.0289999999999999,-0.0289999999999999,-0.0289999999999999,1.4076,1.3911,1.4084,1.3896,,1.19%,0.0
2018-10-04,1.981,2.058,2.29,2.711,0.817,,,,False,True,True,False,False,False,0.0699999999999998,3.1913,0.0472999999999999,0.0,0.0699999999999998,0.0699999999999998,0.0699999999999998,0.0,0.0,0.0,0.0,0.0,0.0699999999999998,0.0699999999999998,0.0699999999999998,1.4136,1.4079,1.4154,1.4053,,0.43%,0.0
2018-10-05,1.977,2.053,2.283,2.716,0.82,,,,False,False,True,False,False,False,0.0050000000000003,3.2346,0.0432999999999998,0.0,0.0,0.0050000000000003,0.0050000000000003,0.0050000000000003,0.0,0.0,0.0,0.0,0.0050000000000003,0.0050000000000003,0.0050000000000003,1.418,1.4138,1.42,1.4106,,0.31%,0.0045563360783427
2018-10-08,2.008,2.093,2.323,2.771,0.851,,,,False,False,False,False,False,False,0.0549999999999997,,,0.0,0.0,0.0,0.0549999999999997,0.0549999999999997,0.0549999999999997,0.0,0.0,0.0,0.0549999999999997,0.0549999999999997,0.0549999999999997,1.4127,1.4177,1.4206,1.4121,,-0.37%,1.4424590943758348e-05
2018-10-09,2.024,2.109,2.332,2.771,0.851,,,,False,False,False,False,False,False,0.0,3.2042,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4079,1.4124,1.4176,1.4071,,-0.34%,0.0049197827030505
2018-10-10,2.024,2.105,2.323,2.752,0.834,,,,False,False,False,False,False,False,-0.0190000000000001,3.2187,0.0144999999999999,0.0,0.0,0.0,-0.0190000000000001,-0.0190000000000001,-0.0190000000000001,0.0,0.0,0.0,-0.0190000000000001,-0.0190000000000001,-0.0190000000000001,1.4159,1.4082,1.4201,1.4024,,0.57%,0.0114204719263384
