Date,1yr,2yr,5yr,10yr,20yr,30yr,In ECB 3dWindow,In ECB 5dWindow,In ECB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,ECB 10yr - 3dWindow Change,ECB 10yr - 5dWindow Change,ECB 10yr - 7dWindow Change,ECB 10yr - Outside 3dWindow Change,ECB 10yr - Outside 5dWindow Change,ECB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,US10y,US10y Change,Price,Open,High,Low,Vol.,Change %,Spread,country,gdp_per_cap,log_gpc,qrtly_chng_gpc,yearly_chng_gpc,log_qrtly_chng_gpc,log_yearly_chng_gpc,vix,dxy
2007-10-16,4.211,4.219,4.282,4.43,4.665,4.657,False,False,False,0,False,False,-0.0020000000000006,0.0,0.0,0.0,-0.0020000000000006,-0.0020000000000006,-0.0020000000000006,0.0,0.0,0.0,-0.0020000000000006,-0.0020000000000006,-0.0020000000000006,4.7855,-0.0185000000000004,"0,7059","0,7035",0.7071,0.7028,,"0,30%",0.42446419531029,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,20.02,78.25
2007-10-17,4.188,4.203,4.275,4.437,4.689,4.686,False,False,False,0,False,False,0.0070000000000005,0.0,0.0,0.0,0.0070000000000005,0.0070000000000005,0.0070000000000005,0.0,0.0,0.0,0.0070000000000005,0.0070000000000005,0.0070000000000005,4.6935,-0.0919999999999996,"0,7039","0,7056",0.7064,0.7026,,"-0,28%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,18.54,78.120003
2007-10-18,4.159,4.158,4.28,4.38,4.638,4.633,False,False,False,0,False,False,-0.0570000000000003,0.0,0.0,0.0,-0.0570000000000003,-0.0570000000000003,-0.0570000000000003,0.0,0.0,0.0,-0.0570000000000003,-0.0570000000000003,-0.0570000000000003,4.6507,-0.0428000000000006,"0,6994","0,7038",0.7044,0.6987,,"-0,64%",0.24388388313999,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,18.5,77.589996
2007-10-19,4.138,4.074,4.191,4.324,4.587,4.584,False,False,False,0,False,False,-0.056,0.0,0.0,0.0,-0.056,-0.056,-0.056,0.0,0.0,0.0,-0.056,-0.056,-0.056,4.5427,-0.1079999999999996,"0,6990","0,6998",0.7021,0.6982,,"-0,06%",0.23004746258849001,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,22.96,77.410004
2007-10-22,4.103,4.001,4.094,4.202,4.473,4.483,False,False,False,0,False,False,-0.1219999999999998,0.0,0.0,0.0,-0.1219999999999998,-0.1219999999999998,-0.1219999999999998,0.0,0.0,0.0,-0.1219999999999998,-0.1219999999999998,-0.1219999999999998,4.5421,-0.0006000000000003,"0,7053","0,6978",0.7079,0.6968,,"0,90%",0.44197281837564,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,21.64,78.059998
2007-10-23,4.105,3.978,4.076,4.182,4.465,4.474,False,False,False,0,False,False,-0.0199999999999995,0.0,0.0,0.0,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,0.0,0.0,0.0,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,4.5485,0.0064000000000001,"0,7011","0,7053",0.7057,0.7002,,"-0,60%",0.46732797327965003,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,20.41,77.589996
2007-10-24,4.107,3.933,4.071,4.188,4.469,4.477,False,False,False,0,False,False,0.0059999999999993,0.0,0.0,0.0,0.0059999999999993,0.0059999999999993,0.0059999999999993,0.0,0.0,0.0,0.0059999999999993,0.0059999999999993,0.0059999999999993,4.4967,-0.0518,"0,7009","0,7011",0.7048,0.7007,,"-0,03%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,20.8,77.550003
2007-10-25,4.195,3.831,4.03,4.153,4.434,4.445,False,False,False,0,False,False,-0.0350000000000001,0.0,0.0,0.0,-0.0350000000000001,-0.0350000000000001,-0.0350000000000001,0.0,0.0,0.0,-0.0350000000000001,-0.0350000000000001,-0.0350000000000001,4.5021,0.0054000000000007,"0,6979","0,7009",0.7019,0.6971,,"-0,43%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,21.17,77.279999
2007-10-26,4.065,3.933,4.032,4.161,4.437,4.447,False,False,False,0,False,False,0.008,0.0,0.0,0.0,0.008,0.008,0.008,0.0,0.0,0.0,0.008,0.008,0.008,4.5395,0.0373999999999998,"0,6946","0,6977",0.6985,0.6945,,"-0,47%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,19.56,77.029999
2007-10-29,4.077,3.967,4.052,4.173,4.451,4.45,False,False,False,0,True,True,0.0120000000000004,0.0,0.0,0.0,0.0120000000000004,0.0120000000000004,0.0120000000000004,0.0,0.0120000000000004,0.0120000000000004,0.0120000000000004,0.0,0.0,4.52,-0.0195000000000007,"0,6933","0,6938",0.6956,0.6925,,"-0,19%",0.40887980962033,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,19.87,76.839996
2007-10-30,4.104,3.955,4.048,4.173,4.441,4.452,False,False,False,1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5298,0.0098000000000002,"0,6929","0,6932",0.6958,0.6923,,"-0,06%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,21.07,76.769997
2007-10-31,4.13,3.972,4.052,4.177,4.456,4.459,False,False,False,1,True,True,0.0039999999999995,0.0,0.0,0.0,0.0039999999999995,0.0039999999999995,0.0039999999999995,0.0039999999999995,0.0039999999999995,0.0039999999999995,0.0,0.0,0.0,4.6042,0.0743999999999998,"0,6905","0,6925",0.6935,0.6893,,"-0,35%",0.24418968713365002,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,18.53,76.480003
2007-11-01,4.207,4.114,4.199,4.293,4.542,4.554,False,False,False,1,True,True,0.1160000000000005,0.0,0.0,0.0,0.1160000000000005,0.1160000000000005,0.1160000000000005,0.1160000000000005,0.1160000000000005,0.1160000000000005,0.0,0.0,0.0,4.498,-0.1061999999999994,"0,6936","0,6905",0.6944,0.6904,,"0,45%",0.18119327188127998,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,10.87,76.589996
