Date,Price,Open,High,Low,Vol.,Change %,Spread
2007-11-28,1.1118,1.1057,1.1197,1.104,,0.65%,0.004471934093654379
2007-11-27,1.1046,1.0967,1.1071,1.0954,,0.75%,0.0
2007-11-26,1.0964,1.1034,1.1073,1.0954,,-0.54%,0.01049786491006608
2007-11-23,1.1024,1.1014,1.1049,1.0896,,0.13%,0.00368547849590898
2007-11-22,1.101,1.1018,1.104,1.1003,,-0.10%,0.0009618672037122755
2007-11-21,1.1021,1.1055,1.108,1.1013,,-0.47%,0.0
2007-11-20,1.1073,1.1151,1.1174,1.1056,,-0.74%,0.0
2007-11-19,1.1155,1.1169,1.1202,1.115,,-0.29%,0.0
2007-11-16,1.1187,1.1223,1.1248,1.1158,,-0.32%,0.0012865245695285162
2007-11-15,1.1223,1.1243,1.1263,1.1199,,-0.17%,0.0011665036812000466
2007-11-14,1.1242,1.1269,1.1277,1.1176,,-0.26%,0.003990457882158247
2007-11-13,1.1271,1.129,1.1298,1.1226,,-0.15%,0.00043400090579990614
2007-11-12,1.1288,1.1224,1.13,1.1214,,0.54%,0.005606086787749392
2007-11-09,1.1227,1.1279,1.1284,1.1187,,-0.42%,0.003568053993990644
2007-11-08,1.1274,1.1332,1.1344,1.1251,,-0.53%,0.0
2007-11-07,1.1334,1.1448,1.1452,1.1256,,-1.03%,0.0034232683422665026
2007-11-06,1.1452,1.1541,1.1545,1.1421,,-0.73%,0.0
2007-11-05,1.1536,1.1536,1.1558,1.1507,,-0.05%,0.0
2007-11-02,1.1542,1.1578,1.1585,1.149,,-0.31%,0.0026855802933616123
2007-11-01,1.1578,1.1585,1.164,1.1554,,-0.04%,0.0
2007-10-31,1.1583,1.1584,1.1628,1.1555,,-0.09%,0.005584844489290869
2007-10-30,1.1593,1.1643,1.1671,1.158,,-0.46%,0.00013928054927532806
2007-10-29,1.1646,1.1632,1.1671,1.1606,,0.03%,0.0043169521942494115
2007-10-26,1.1643,1.1651,1.1666,1.1618,,-0.13%,0.003276130307584433
2007-10-25,1.1658,1.1717,1.1736,1.1634,,-0.50%,0.0
2007-10-24,1.1717,1.1731,1.1776,1.1707,,-0.09%,0.0
2007-10-23,1.1728,1.178,1.1785,1.1701,,-0.42%,0.005080397679196561
2007-10-22,1.1778,1.1619,1.1787,1.16,,0.99%,0.003686291540621946
2007-10-19,1.1663,1.17,1.1737,1.1654,,-0.28%,0.003630827550219432
2007-10-18,1.1696,1.1799,1.1801,1.166,,-0.91%,0.0034377182014591013
2007-10-17,1.1804,1.1826,1.1833,1.1776,,-0.25%,0.0
2007-10-16,1.1834,1.1796,1.1847,1.1787,,0.28%,0.0024040308266022495
2007-10-15,1.1801,1.1836,1.186,1.1777,,-0.38%,0.003967057654954074
2007-10-12,1.1846,1.1812,1.1879,1.1804,,0.22%,0.002012117803171891
2007-10-11,1.182,1.1828,1.1847,1.1768,,-0.06%,0.0
2007-10-10,1.1827,1.1835,1.1848,1.1784,,-0.07%,0.00442572163005676
2007-10-09,1.1835,1.1851,1.1895,1.1823,,-0.18%,0.0
2007-10-08,1.1856,1.1766,1.1872,1.1758,,0.61%,0.0
2007-10-05,1.1784,1.1742,1.1857,1.1741,,0.30%,0.00646891885307285
2007-10-04,1.1749,1.1801,1.1816,1.1736,,-0.47%,0.00408697534088541
2007-10-03,1.1805,1.1754,1.1812,1.1711,,0.46%,0.004885596007871011
2007-10-02,1.1751,1.1688,1.178,1.1675,,0.50%,0.001785877266618446
2007-10-01,1.1693,1.1623,1.172,1.1611,,0.43%,0.0
2007-09-28,1.1643,1.1734,1.174,1.1624,,-0.79%,0.006243151053952787
2007-09-27,1.1736,1.1698,1.1742,1.1676,,0.27%,0.003181836693129305
2007-09-26,1.1704,1.1661,1.1722,1.1645,,0.33%,0.000910065026885602
2007-09-25,1.1665,1.1729,1.1748,1.1637,,-0.52%,0.004981495178029081
2007-09-24,1.1726,1.1719,1.1759,1.1686,,0.02%,0.002231548340888501
2007-09-21,1.1724,1.1721,1.1773,1.1676,,0.04%,0.0050258211604461995
2007-09-20,1.1719,1.1836,1.1841,1.1686,,-1.05%,0.003683933641371918
2007-09-19,1.1843,1.1805,1.188,1.1796,,0.27%,0.0
2007-09-18,1.1811,1.1873,1.1896,1.1803,,-0.54%,0.00516372094608182
2007-09-17,1.1875,1.1887,1.19,1.1847,,-0.18%,0.0020384824826744923
2007-09-14,1.1896,1.1858,1.1925,1.1838,,0.29%,0.0030257228611695543
2007-09-13,1.1862,1.1845,1.1892,1.1801,,0.14%,0.00038552250741428844
2007-09-12,1.1845,1.1895,1.1897,1.1817,,-0.41%,0.005123032723229275
2007-09-11,1.1894,1.1854,1.19,1.1836,,0.30%,0.003954816627853106
2007-09-10,1.1858,1.1863,1.1881,1.1839,,-0.21%,0.002556238002417443
2007-09-07,1.1883,1.2003,1.2027,1.1859,,-1.12%,0.0
2007-09-06,1.2018,1.2041,1.2064,1.1992,,-0.21%,0.0
2007-09-05,1.2043,1.2119,1.2138,1.202,,-0.64%,0.0
2007-09-04,1.2121,1.2079,1.2155,1.2072,,0.29%,0.0018439333724890236
2007-09-03,1.2086,1.2078,1.2104,1.2058,,-0.01%,0.0
2007-08-31,1.2087,1.204,1.2092,1.1987,,0.38%,0.0
2007-08-30,1.2041,1.1993,1.2069,1.1988,,0.40%,0.005545994057409315
2007-08-29,1.1993,1.2009,1.2041,1.198,,-0.12%,0.0024938993730065522
2007-08-28,1.2008,1.2026,1.2043,1.1959,,-0.21%,0.0039798961674298835
2007-08-27,1.2033,1.2005,1.2047,1.1997,,0.21%,0.001956305290717152
2007-08-24,1.2008,1.2069,1.2079,1.1992,,-0.51%,0.002682378398200637
2007-08-23,1.2069,1.2061,1.2106,1.2046,,0.06%,0.0
2007-08-22,1.2062,1.2065,1.2112,1.204,,-0.03%,0.004342823850674754
2007-08-21,1.2066,1.2055,1.2074,1.201,,0.07%,0.0
2007-08-20,1.2058,1.207,1.209,1.2048,,-0.21%,0.0
2007-08-17,1.2083,1.2173,1.218,1.1991,,-0.62%,0.0009234588610823187
2007-08-16,1.2158,1.2192,1.2215,1.2132,,-0.32%,0.0
2007-08-15,1.2197,1.2104,1.22,1.2102,,0.74%,0.003058840083787799
2007-08-14,1.2108,1.2053,1.212,1.2028,,0.45%,0.0
2007-08-13,1.2054,1.1983,1.2067,1.1972,,0.56%,0.0
2007-08-10,1.1987,1.1964,1.2018,1.1929,,0.22%,0.0
2007-08-09,1.1961,1.1966,1.1995,1.1919,,-0.08%,0.003641604188092785
2007-08-08,1.197,1.197,1.1997,1.1912,,-0.02%,0.00585884429715765
2007-08-07,1.1972,1.1919,1.1986,1.1891,,0.43%,0.00433730397810303
2007-08-06,1.1921,1.1836,1.1927,1.1817,,0.12%,0.0
2007-08-03,1.1907,1.2043,1.2073,1.1865,,-1.15%,0.0
2007-08-02,1.2045,1.2035,1.2086,1.2022,,0.02%,0.0
2007-08-01,1.2043,1.2007,1.2052,1.1979,,0.27%,0.0
2007-07-31,1.2011,1.2029,1.2067,1.2004,,-0.15%,0.0016902880044829829
2007-07-30,1.2029,1.209,1.2096,1.2005,,-0.47%,0.0037505066971742903
2007-07-27,1.2086,1.2038,1.2135,1.2022,,0.42%,0.0030235364061905966
2007-07-26,1.2035,1.213,1.2151,1.202,,-0.81%,0.008399088459188268
2007-07-25,1.2133,1.2023,1.2167,1.2022,,0.89%,0.009674340745370076
2007-07-24,1.2026,1.2063,1.2079,1.2011,,-0.27%,0.0008384552118439447
2007-07-23,1.2058,1.2009,1.2081,1.1981,,0.43%,0.004190966662458431
2007-07-20,1.2006,1.2036,1.2067,1.1981,,-0.23%,0.006406573166330251
2007-07-19,1.2034,1.2008,1.2054,1.1986,,0.22%,0.004748472632134646
2007-07-18,1.2008,1.2017,1.205,1.196,,-0.08%,0.003773689257066617
2007-07-17,1.2018,1.2032,1.2039,1.1981,,-0.14%,0.00343016799311732
2007-07-16,1.2035,1.2022,1.2039,1.1993,,0.07%,0.0032188337347034217
2007-07-13,1.2026,1.2026,1.2055,1.1984,,0.01%,0.002732941069584306
2007-07-12,1.2025,1.2056,1.206,1.2004,,-0.27%,0.0028936646827180004
2007-07-11,1.2058,1.2002,1.2069,1.1988,,0.29%,0.00350517457982157
2007-07-10,1.2023,1.216,1.2196,1.2018,,-1.17%,0.0
2007-07-09,1.2165,1.2175,1.2193,1.2153,,-0.12%,0.0008757001244788836
2007-07-06,1.218,1.2174,1.2233,1.2159,,0.03%,0.0008185628874774933
2007-07-05,1.2176,1.2168,1.2201,1.21,,0.06%,0.0
2007-07-04,1.2169,1.2155,1.2174,1.2143,,0.10%,0.0009228001513637071
2007-07-03,1.2157,1.2101,1.2178,1.2089,,0.41%,0.0010393044166883073
2007-07-02,1.2107,1.221,1.2228,1.2094,,-0.89%,0.0043567820953347445
2007-06-29,1.2216,1.2309,1.2334,1.2207,,-0.77%,0.0
2007-06-28,1.2311,1.2289,1.2342,1.2266,,0.16%,0.002546124602163794
2007-06-27,1.2291,1.2277,1.2304,1.2272,,0.07%,0.0012711269365665522
2007-06-26,1.2283,1.2284,1.2308,1.2259,,-0.02%,0.0018704999309194924
2007-06-25,1.2286,1.2287,1.2314,1.2269,,-0.07%,0.002264507472171268
2007-06-22,1.2294,1.2416,1.2424,1.2284,,-0.96%,0.0
2007-06-21,1.2413,1.2375,1.2429,1.2374,,0.32%,0.0010490689593339972
2007-06-20,1.2374,1.2405,1.2409,1.2353,,-0.27%,0.00048545302590594417
2007-06-19,1.2407,1.2421,1.2428,1.2391,,-0.10%,0.0
2007-06-18,1.242,1.242,1.2424,1.2386,,0.06%,0.002147614655837103
2007-06-15,1.2412,1.2461,1.2468,1.2409,,-0.39%,0.0
2007-06-14,1.246,1.2441,1.2472,1.2431,,0.18%,0.0017143651472234151
2007-06-13,1.2437,1.2418,1.247,1.2416,,0.13%,0.0022872745992076594
2007-06-12,1.2421,1.2378,1.2433,1.2372,,0.31%,0.0
2007-06-11,1.2383,1.2355,1.2402,1.2353,,0.26%,0.0
2007-06-08,1.2351,1.2241,1.2368,1.2238,,0.92%,0.0
2007-06-07,1.2238,1.2165,1.2268,1.2161,,0.60%,0.0
2007-06-06,1.2165,1.218,1.2191,1.2146,,-0.11%,0.0
2007-06-05,1.2178,1.2229,1.2243,1.2161,,-0.48%,0.0
2007-06-04,1.2237,1.2292,1.2308,1.2215,,-0.51%,0.0
2007-06-01,1.23,1.2251,1.2331,1.2246,,0.41%,0.0019639227402942464
2007-05-31,1.225,1.2255,1.2273,1.223,,-0.07%,0.0
2007-05-30,1.2258,1.2252,1.2281,1.2236,,0.03%,0.0022147990966426665
2007-05-29,1.2254,1.2289,1.2309,1.2199,,-0.28%,0.0017420699206635536
2007-05-28,1.2289,1.2273,1.2289,1.2263,,0.07%,0.0005950310771825657
2007-05-25,1.2281,1.2272,1.2294,1.2254,,-0.02%,0.0015155477369849643
2007-05-24,1.2284,1.2273,1.2316,1.2263,,0.09%,0.0008659280564531418
2007-05-23,1.2273,1.2297,1.2313,1.2239,,-0.17%,0.002752758734754952
2007-05-22,1.2294,1.2307,1.233,1.228,,-0.10%,0.0
2007-05-21,1.2306,1.2279,1.2334,1.2268,,0.25%,0.0032954567740712606
2007-05-18,1.2275,1.2266,1.2283,1.2243,,0.03%,0.0
2007-05-17,1.2271,1.2229,1.2283,1.2196,,0.34%,0.0017205681309073238
2007-05-16,1.2229,1.2147,1.2248,1.2138,,0.64%,0.0
2007-05-15,1.2151,1.2189,1.2205,1.2125,,-0.34%,0.002585326148803153
2007-05-14,1.2193,1.2179,1.2207,1.2167,,0.02%,0.0014719761369383617
2007-05-11,1.2191,1.2204,1.2214,1.2168,,-0.04%,0.0027656593941415733
