Date,Price,Open,High,Low,Vol.,Change %,Spread
2017-11-03,1.307,1.2965,1.3091,1.2955,,0.81%,0.004970521472356967
2017-11-02,1.2965,1.3031,1.3034,1.2935,,-0.48%,0.0022745426237208368
2017-11-01,1.3028,1.3059,1.3075,1.2991,,-0.25%,0.0
2017-10-31,1.306,1.3009,1.3092,1.2988,,0.40%,0.005501322129848512
2017-10-30,1.3008,1.3025,1.3063,1.2998,,-0.12%,0.003455962706506697
2017-10-27,1.3023,1.3057,1.3117,1.3021,,-0.23%,0.0
2017-10-26,1.3053,1.2981,1.3064,1.2952,,0.56%,0.0
2017-10-25,1.298,1.2859,1.3003,1.2844,,0.93%,0.0
2017-10-24,1.286,1.2809,1.287,1.2777,,0.39%,0.0
2017-10-23,1.281,1.2791,1.2828,1.276,,0.16%,0.0009842306780124634
2017-10-20,1.279,1.2696,1.2808,1.2684,,0.78%,0.0
2017-10-19,1.2691,1.2744,1.2753,1.268,,-0.43%,0.0030226114166612443
2017-10-18,1.2746,1.2748,1.2792,1.2725,,0.00%,0.0
2017-10-17,1.2746,1.274,1.2793,1.272,,0.07%,0.004935491407652735
2017-10-16,1.2737,1.2693,1.2752,1.267,,0.49%,0.0
2017-10-13,1.2675,1.2783,1.2791,1.2659,,-0.86%,0.004447821418320663
2017-10-12,1.2785,1.2843,1.2846,1.2761,,-0.43%,0.0
2017-10-11,1.284,1.2854,1.287,1.2803,,-0.12%,0.0
2017-10-10,1.2856,1.29,1.2906,1.2825,,-0.33%,0.00039915679221230575
2017-10-09,1.2898,1.2896,1.291,1.2847,,0.22%,0.0033007541837648522
2017-10-06,1.287,1.283,1.2933,1.2821,,0.33%,0.0030933278319656573
2017-10-05,1.2828,1.2715,1.2845,1.2712,,0.87%,0.0
2017-10-04,1.2717,1.2764,1.2772,1.2695,,-0.37%,0.0007023572385981341
2017-10-03,1.2764,1.2774,1.2846,1.2754,,-0.09%,0.0
2017-10-02,1.2776,1.2744,1.2829,1.2737,,0.09%,0.003983760450729275
2017-09-29,1.2765,1.273,1.2793,1.2721,,0.29%,0.0016709129999688411
2017-09-28,1.2728,1.274,1.2822,1.272,,-0.09%,0.004328508753281258
2017-09-27,1.274,1.2683,1.2764,1.2674,,0.48%,0.0
2017-09-26,1.2679,1.2601,1.2725,1.2577,,0.63%,0.0
2017-09-25,1.26,1.2561,1.2619,1.2535,,0.33%,0.0
2017-09-22,1.2558,1.2606,1.2646,1.2518,,-0.36%,0.004819896194907258
2017-09-21,1.2604,1.2452,1.2633,1.2442,,1.24%,0.004963608822078764
2017-09-20,1.245,1.2478,1.2522,1.234,,-0.28%,0.0
2017-09-19,1.2485,1.2562,1.257,1.2468,,-0.61%,0.0
2017-09-18,1.2562,1.2496,1.2595,1.2444,,0.53%,0.00602123120768223
2017-09-15,1.2496,1.2492,1.2522,1.2443,,0.05%,0.0035712504704679716
2017-09-14,1.249,1.2522,1.2571,1.247,,-0.27%,4.5502776737060635e-05
2017-09-13,1.2524,1.247,1.2547,1.2429,,0.40%,0.002568814485470312
2017-09-12,1.2474,1.2457,1.2506,1.2423,,0.16%,0.003929718762919386
2017-09-11,1.2454,1.2394,1.2471,1.2377,,0.36%,0.0
2017-09-08,1.2409,1.2427,1.2433,1.2305,,-0.14%,0.0
2017-09-07,1.2427,1.2497,1.2542,1.2422,,-0.58%,0.0
2017-09-06,1.25,1.2507,1.2559,1.2466,,-0.06%,0.002857338724624257
2017-09-05,1.2507,1.2585,1.2591,1.2453,,-0.64%,0.005485393027304646
2017-09-04,1.2587,1.2608,1.2608,1.254,,0.29%,0.0
2017-09-01,1.255,1.2584,1.2625,1.2507,,-0.27%,0.003490752688538943
2017-08-31,1.2584,1.2651,1.2705,1.2575,,-0.53%,0.0
2017-08-30,1.2651,1.2578,1.2674,1.2504,,0.54%,0.0024809094819938865
2017-08-29,1.2583,1.2557,1.265,1.2521,,0.20%,0.00832767867676515
2017-08-28,1.2558,1.2608,1.2631,1.2541,,-0.42%,0.005426848591562058
2017-08-25,1.2611,1.264,1.2683,1.2568,,-0.35%,0.000774894806818733
2017-08-24,1.2655,1.265,1.2713,1.2629,,0.03%,0.0
2017-08-23,1.2651,1.2638,1.269,1.2629,,0.09%,0.0037810589243338927
2017-08-22,1.264,1.26,1.2668,1.2577,,0.35%,0.0
2017-08-21,1.2596,1.2629,1.2645,1.2577,,-0.11%,0.004329669446589868
2017-08-18,1.261,1.2682,1.2712,1.2589,,-0.55%,0.0010656708742446022
2017-08-17,1.268,1.262,1.2692,1.2555,,0.48%,0.0051756675212258135
2017-08-16,1.2619,1.2787,1.2797,1.2602,,-1.31%,0.0
2017-08-15,1.2786,1.2739,1.2812,1.2695,,0.38%,0.0032841263028220826
2017-08-14,1.2737,1.2676,1.275,1.2624,,0.57%,0.0
2017-08-11,1.2665,1.2698,1.2756,1.2635,,-0.26%,0.008118968531316871
2017-08-10,1.2698,1.2671,1.2712,1.2635,,0.17%,0.004277564689607896
2017-08-09,1.2677,1.2633,1.2733,1.2632,,0.32%,0.004956362357942628
